TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
evoSuite.MyEvoSuite,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9,20,18,1.0,11,1.0,11,0.0,00,1.0,111111111111,1.0,11
evoSuite.MyEvoSuite,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9,20,18,1.0,11,1.0,11,0.0,00,1.0,111111111111,1.0,11
evoSuite.MyEvoSuite,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9,20,18,1.0,11,1.0,11,0.0,00,1.0,111111111111,1.0,11
evoSuite.MyEvoSuite,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9,20,18,1.0,11,1.0,11,0.0,00,1.0,111111111111,1.0,11
